"Section","Variable","Source","Model","ScalarName","AnalysisType","Region","ScalarType","Units","Data","Weight"
"HyrdologyCycle","Evapotranspiration","GLEAMv3.3a","ORCHIDEEv3","Seasonal Cycle Score","MeanState","above","score","1","0.95782","1.0"
"HyrdologyCycle","Evapotranspiration","GLEAMv3.3a","ORCHIDEEv3","Bias","MeanState","global","scalar","g/m2/s","0.000216321","1.0"
"HyrdologyCycle","Evapotranspiration","GLEAMv3.3a","ORCHIDEEv3","Bias Score","MeanState","global","score","1","0.721944","1.0"
"HyrdologyCycle","Evapotranspiration","GLEAMv3.3a","ORCHIDEEv3","Bias","MeanState","above","scalar","g/m2/s","-0.000777085","1.0"
"HyrdologyCycle","Evapotranspiration","GLEAMv3.3a","ORCHIDEEv3","Bias Score","MeanState","above","score","1","0.861437","1.0"
"HyrdologyCycle","Evapotranspiration","GLEAMv3.3a","ORCHIDEEv3","RMSE","MeanState","global","scalar","g/m2/s","0.00517912","1.0"
"HyrdologyCycle","Evapotranspiration","GLEAMv3.3a","ORCHIDEEv3","RMSE Score","MeanState","global","score","1","0.65461","1.0"
"HyrdologyCycle","Evapotranspiration","GLEAMv3.3a","ORCHIDEEv3","RMSE","MeanState","above","scalar","g/m2/s","0.00488893","1.0"
"HyrdologyCycle","Evapotranspiration","GLEAMv3.3a","ORCHIDEEv3","RMSE Score","MeanState","above","score","1","0.68863","1.0"
"HyrdologyCycle","Evapotranspiration","GLEAMv3.3a","ORCHIDEEv3","Overall Score","MeanState","global","score","1","0.776424","1.0"
"HyrdologyCycle","Evapotranspiration","GLEAMv3.3a","ORCHIDEEv3","Overall Score","MeanState","above","score","1","0.835694","1.0"
"HyrdologyCycle","Evapotranspiration","GLEAMv3.3a","CLASSIC","Benchmark Period Mean (intersection)","MeanState","global","scalar","g/m2/s","0.0169431","1.0"
"HyrdologyCycle","Evapotranspiration","GLEAMv3.3a","CLASSIC","Benchmark Period Mean (complement)","MeanState","global","scalar","g/m2/s","0.0101277","1.0"
"HyrdologyCycle","Evapotranspiration","GLEAMv3.3a","CLASSIC","Period Mean (original grids)","MeanState","global","scalar","g/m2/s","0.0167938","1.0"
"HyrdologyCycle","Evapotranspiration","GLEAMv3.3a","CLASSIC","Model Period Mean (intersection)","MeanState","global","scalar","g/m2/s","0.0165762","1.0"
"HyrdologyCycle","Evapotranspiration","GLEAMv3.3a","CLASSIC","Model Period Mean (complement)","MeanState","global","scalar","g/m2/s","0.0193046","1.0"
"HyrdologyCycle","Evapotranspiration","GLEAMv3.3a","CLASSIC","Benchmark Period Mean (intersection)","MeanState","above","scalar","g/m2/s","0.0104427","1.0"
"HyrdologyCycle","Evapotranspiration","GLEAMv3.3a","CLASSIC","Benchmark Period Mean (complement)","MeanState","above","scalar","g/m2/s","0.00666419","1.0"
"HyrdologyCycle","Evapotranspiration","GLEAMv3.3a","CLASSIC","Period Mean (original grids)","MeanState","above","scalar","g/m2/s","0.00824863","1.0"
"HyrdologyCycle","Evapotranspiration","GLEAMv3.3a","CLASSIC","Model Period Mean (intersection)","MeanState","above","scalar","g/m2/s","0.00805858","1.0"
"HyrdologyCycle","Evapotranspiration","GLEAMv3.3a","CLASSIC","Model Period Mean (complement)","MeanState","above","scalar","g/m2/s","0.00730664","1.0"
"HyrdologyCycle","Evapotranspiration","GLEAMv3.3a","CLASSIC","Spatial Distribution Score","MeanState","global","score","1","0.9802","1.0"
"HyrdologyCycle","Evapotranspiration","GLEAMv3.3a","CLASSIC","Spatial Distribution Score","MeanState","above","score","1","0.977047","1.0"
"HyrdologyCycle","Evapotranspiration","GLEAMv3.3a","CLASSIC","Phase Shift","MeanState","global","scalar","months","0.855042","1.0"
"HyrdologyCycle","Evapotranspiration","GLEAMv3.3a","CLASSIC","Seasonal Cycle Score","MeanState","global","score","1","0.892915","1.0"
"HyrdologyCycle","Evapotranspiration","GLEAMv3.3a","CLASSIC","Phase Shift","MeanState","above","scalar","months","0.511026","1.0"
"HyrdologyCycle","Evapotranspiration","GLEAMv3.3a","CLASSIC","Seasonal Cycle Score","MeanState","above","score","1","0.966148","1.0"
"HyrdologyCycle","Evapotranspiration","GLEAMv3.3a","CLASSIC","Bias","MeanState","global","scalar","g/m2/s","-0.000373236","1.0"
"HyrdologyCycle","Evapotranspiration","GLEAMv3.3a","CLASSIC","Bias Score","MeanState","global","score","1","0.71205","1.0"
"HyrdologyCycle","Evapotranspiration","GLEAMv3.3a","CLASSIC","Bias","MeanState","above","scalar","g/m2/s","-0.00240935","1.0"
"HyrdologyCycle","Evapotranspiration","GLEAMv3.3a","CLASSIC","Bias Score","MeanState","above","score","1","0.812626","1.0"
"HyrdologyCycle","Evapotranspiration","GLEAMv3.3a","CLASSIC","RMSE","MeanState","global","scalar","g/m2/s","0.00523205","1.0"
"HyrdologyCycle","Evapotranspiration","GLEAMv3.3a","CLASSIC","RMSE Score","MeanState","global","score","1","0.644236","1.0"
"HyrdologyCycle","Evapotranspiration","GLEAMv3.3a","CLASSIC","RMSE","MeanState","above","scalar","g/m2/s","0.00511073","1.0"
"HyrdologyCycle","Evapotranspiration","GLEAMv3.3a","CLASSIC","RMSE Score","MeanState","above","score","1","0.701123","1.0"
"HyrdologyCycle","Evapotranspiration","GLEAMv3.3a","CLASSIC","Overall Score","MeanState","global","score","1","0.774727","1.0"
"HyrdologyCycle","Evapotranspiration","GLEAMv3.3a","CLASSIC","Overall Score","MeanState","above","score","1","0.831613","1.0"
"HyrdologyCycle","Evapotranspiration","GLEAMv3.3a","CABLE-POP","Benchmark Period Mean (intersection)","MeanState","global","scalar","g/m2/s","0.0165116","1.0"
"HyrdologyCycle","Evapotranspiration","GLEAMv3.3a","CABLE-POP","Benchmark Period Mean (complement)","MeanState","global","scalar","g/m2/s","0.0117183","1.0"
"HyrdologyCycle","Evapotranspiration","GLEAMv3.3a","CABLE-POP","Period Mean (original grids)","MeanState","global","scalar","g/m2/s","0.0154853","1.0"
"HyrdologyCycle","Evapotranspiration","GLEAMv3.3a","CABLE-POP","Model Period Mean (intersection)","MeanState","global","scalar","g/m2/s","0.015472","1.0"
"HyrdologyCycle","Evapotranspiration","GLEAMv3.3a","CABLE-POP","Model Period Mean (complement)","MeanState","global","scalar","g/m2/s","0.0164306","1.0"
